k,Energy,Fidelity
0,0,0.5
1,-0.600327225359,0.800163612679
2,-0.535213551594,0.767606775797
3,-0.516913197253,0.758456598626
4,-0.513803675424,0.756901837712
5,-0.51335728137,0.756678640685
6,-0.513295111997,0.756647555998
7,-0.513286491641,0.75664324582
8,-0.513285297082,0.756642648541
9,-0.513285131561,0.756642565781
10,-0.513285108626,0.756642554313
11,-0.513285105449,0.756642552724
12,-0.513285105008,0.756642552504
13,-0.513285104947,0.756642552474
14,-0.513285104939,0.756642552469
15,-0.513285104938,0.756642552469
16,-0.513285104938,0.756642552469
17,-0.513285104938,0.756642552469
18,-0.51328510494,0.75664255247
19,-0.513285104937,0.756642552469
20,-0.513285104937,0.756642552469
21,-0.513285104937,0.756642552469
22,-0.513285104937,0.756642552469
23,-0.513285104937,0.756642552469
24,-0.513285104937,0.756642552469
25,-0.513285104937,0.756642552469
26,-0.513285104937,0.756642552469
27,-0.513285104937,0.756642552469
28,-0.513285104938,0.756642552469
29,-0.513285104938,0.756642552469
30,-0.513285104938,0.756642552469
31,-0.513285104939,0.75664255247
32,-0.513285104941,0.75664255247
33,-0.513285104945,0.756642552472
34,-0.513285104953,0.756642552476
35,-0.513285104971,0.756642552485
36,-0.513285105009,0.756642552504
37,-0.51328510509,0.756642552545
38,-0.513285105263,0.756642552632
39,-0.513285104937,0.756642552469
40,-0.513285104937,0.756642552469
41,-0.513285104937,0.756642552469
42,-0.513285104937,0.756642552469
43,-0.513285104937,0.756642552469
44,-0.513285104937,0.756642552469
45,-0.513285104937,0.756642552469
46,-0.513285104937,0.756642552469
47,-0.513285104937,0.756642552469
48,-0.513285104937,0.756642552469
49,-0.513285104937,0.756642552469
50,-0.513285104937,0.756642552468
51,-0.513285104936,0.756642552468
52,-0.513285104935,0.756642552468
53,-0.513285104932,0.756642552466
54,-0.513285104927,0.756642552463
55,-0.513285104915,0.756642552457
56,-0.513285104889,0.756642552444
57,-0.513285104834,0.756642552417
58,-0.513285104716,0.756642552358
59,-0.513285104937,0.756642552469
60,-0.513285104937,0.756642552469
61,-0.513285104937,0.756642552469
62,-0.513285104937,0.756642552469
63,-0.513285104937,0.756642552469
64,-0.513285104937,0.756642552469
65,-0.513285104937,0.756642552469
66,-0.513285104937,0.756642552469
67,-0.513285104937,0.756642552469
68,-0.513285104938,0.756642552469
69,-0.513285104938,0.756642552469
70,-0.513285104938,0.756642552469
71,-0.513285104938,0.756642552469
72,-0.51328510494,0.75664255247
73,-0.513285104942,0.756642552471
74,-0.513285104947,0.756642552474
75,-0.513285104959,0.756642552479
76,-0.513285104937,0.756642552469
77,-0.513285104937,0.756642552469
78,-0.513285104937,0.756642552469
79,-0.513285104937,0.756642552469
80,-0.513285104937,0.756642552469
81,-0.513285104937,0.756642552469
82,-0.513285104937,0.756642552469
83,-0.513285104937,0.756642552469
84,-0.513285104937,0.756642552469
85,-0.513285104937,0.756642552469
86,-0.513285104937,0.756642552469
87,-0.513285104937,0.756642552468
88,-0.513285104936,0.756642552468
89,-0.513285104935,0.756642552467
90,-0.513285104932,0.756642552466
91,-0.513285104925,0.756642552463
92,-0.513285104912,0.756642552456
93,-0.513285104882,0.756642552441
94,-0.513285104937,0.756642552469
95,-0.513285104937,0.756642552469
96,-0.513285104937,0.756642552469
97,-0.513285104937,0.756642552469
98,-0.513285104937,0.756642552469
99,-0.513285104937,0.756642552469
100,-0.513285104937,0.756642552469
101,-0.513285104937,0.756642552469
102,-0.513285104937,0.756642552469
103,-0.513285104938,0.756642552469
104,-0.513285104938,0.756642552469
105,-0.513285104938,0.756642552469
106,-0.513285104939,0.756642552469
107,-0.51328510494,0.75664255247
108,-0.513285104943,0.756642552471
109,-0.513285104949,0.756642552475
110,-0.513285104962,0.756642552481
111,-0.513285104991,0.756642552495
112,-0.513285104937,0.756642552469
113,-0.513285104937,0.756642552469
114,-0.513285104937,0.756642552469
115,-0.513285104937,0.756642552469
116,-0.513285104937,0.756642552469
117,-0.513285104937,0.756642552469
118,-0.513285104937,0.756642552469
119,-0.513285104937,0.756642552469
120,-0.513285104937,0.756642552469
121,-0.513285104937,0.756642552469
122,-0.513285104937,0.756642552469
123,-0.513285104937,0.756642552469
124,-0.513285104937,0.756642552469
125,-0.513285104937,0.756642552469
126,-0.513285104937,0.756642552468
127,-0.513285104936,0.756642552468
128,-0.513285104935,0.756642552467
129,-0.513285104937,0.756642552469
130,-0.513285104937,0.756642552469
131,-0.513285104937,0.756642552469
132,-0.513285104937,0.756642552469
133,-0.513285104937,0.756642552469
134,-0.513285104937,0.756642552469
135,-0.513285104937,0.756642552469
136,-0.513285104937,0.756642552469
137,-0.513285104937,0.756642552469
138,-0.513285104938,0.756642552469
139,-0.513285104938,0.756642552469
140,-0.513285104938,0.756642552469
141,-0.513285104939,0.756642552469
142,-0.51328510494,0.75664255247
143,-0.513285104943,0.756642552472
144,-0.51328510495,0.756642552475
145,-0.513285104964,0.756642552482
146,-0.513285104994,0.756642552497
147,-0.513285104937,0.756642552469
148,-0.513285104937,0.756642552469
149,-0.513285104937,0.756642552469
150,-0.513285104937,0.756642552469
151,-0.513285104937,0.756642552469
152,-0.513285104937,0.756642552469
153,-0.513285104937,0.756642552469
154,-0.513285104937,0.756642552469
155,-0.513285104937,0.756642552469
156,-0.513285104937,0.756642552469
157,-0.513285104937,0.756642552469
158,-0.513285104937,0.756642552468
159,-0.513285104936,0.756642552468
160,-0.513285104935,0.756642552467
161,-0.513285104932,0.756642552466
162,-0.513285104926,0.756642552463
163,-0.513285104912,0.756642552456
164,-0.513285104884,0.756642552442
165,-0.513285104937,0.756642552469
166,-0.513285104937,0.756642552469
167,-0.513285104937,0.756642552469
168,-0.513285104937,0.756642552469
