k,Energy,Fidelity
0,0,0.25
1,-0.25133992361084,0.38062863727146
2,-0.4739848623688,0.52907450028838
3,-0.65390670573287,0.67353207562084
4,-0.78767933703534,0.79371385465322
5,-0.87816324800918,0.87982687110824
6,-0.93372419459259,0.93415051917719
7,-0.96523217732848,0.96533668806047
8,-0.98215431760408,0.98217930649089
9,-0.99095041698423,0.99095631279956
10,-0.99544035175479,0.9954417332211
11,-0.99771024976956,0.99771057232725
12,-0.99885209469964,0.99885216987957
13,-0.99942502471775,0.9994250422246
14,-0.99971212573433,0.99971212980925
15,-0.99985590099944,0.99985590194772
16,-0.99992787746694,0.99992787768759
17,-0.99996390419298,0.99996390424431
18,-0.99998193531636,0.99998193532831
19,-0.99999095938779,0.99999095939057
20,-0.99999547558697,0.99999547558762
21,-0.99999773574622,0.99999773574637
22,-0.99999886685057,0.99999886685061
23,-0.99999943291407,0.99999943291407
24,-0.99999971620132,0.99999971620132
25,-0.99999985797272,0.99999985797272
26,-0.99999992892234,0.99999992892234
27,-0.99999996442913,0.99999996442913
28,-0.99999998219854,0.99999998219853
29,-0.99999999109124,0.99999999109124
30,-0.99999999554161,0.99999999554161
31,-0.99999999776879,0.99999999776879
32,-0.99999999888339,0.99999999888339
33,-0.99999999944119,0.99999999944119
34,-0.99999999972034,0.99999999972034
35,-0.99999999986005,0.99999999986005
36,-0.99999999992996,0.99999999992996
37,-0.99999999996495,0.99999999996495
38,-0.99999999998246,0.99999999998246
39,-0.99999999999122,0.99999999999122
40,-0.99999999999561,0.99999999999561
41,-0.9999999999978,0.9999999999978
42,-0.9999999999989,0.9999999999989
43,-0.99999999999945,0.99999999999945
44,-0.99999999999972,0.99999999999972
45,-0.99999999999986,0.99999999999986
46,-0.99999999999993,0.99999999999993
47,-0.99999999999997,0.99999999999996
48,-0.99999999999998,0.99999999999998
49,-0.99999999999999,0.99999999999999
